property_scope,availability,location,bedrooms,total_sqft,bathrooms,balconies,buying_status,BER,renovation_needed,price_per_sqft,sqft_per_room,log_total_sqft,log_price_per_sqft
Extended Coverage,0,Fingal,3,1580.0,3,3,0,1,0,718.35,263.3333333333333,7.365812837209472,6.5783480264830425
Extended Coverage,0,South Dublin,2,1295.0,2,1,1,4,2,569.69,323.75,7.16703787691222,6.346846155048159
Extended Coverage,0,Dun Laoghaire,1,589.0,1,1,1,1,0,520.29,294.5,6.380122536899765,6.256306508777867
Extended Coverage,0,Fingal,3,1415.0,3,3,0,5,2,625.65,235.83333333333334,7.255591274253665,6.440388171057531
Extended Coverage,352,Dun Laoghaire,3,1787.0,3,2,1,4,2,624.28,297.8333333333333,7.488852955733459,6.438199549414363
Extended Coverage,0,Dun Laoghaire,3,1787.0,3,2,0,7,2,793.93,297.8333333333333,7.488852955733459,6.67825406046321
Extended Coverage,0,DCC,3,1475.0,2,3,0,4,2,692.54,295.0,7.297091005160418,6.541808916534231
Constructed Space,0,Other,4,2000.0,4,1,1,1,0,428.46,250.0,7.601402334583733,6.062528605538986
Extended Coverage,78,Dun Laoghaire,2,984.0,2,1,0,5,2,510.75,246.0,6.892641641172089,6.2378362245413985
Constructed Space,0,Fingal,2,1080.0,2,2,0,5,2,756.67,270.0,6.985641817639208,6.630247934646819
Land Parcel,0,Fingal,2,1500.0,2,1,1,6,2,870.17,375.0,7.313886831633462,6.769837135764136
Extended Coverage,0,Dun Laoghaire,3,1900.0,3,2,1,2,1,710.87,316.6666666666667,7.550135342488429,6.567895310471775
Extended Coverage,231,South Dublin,2,805.0,2,1,0,2,1,312.16,201.25,6.692083742506628,5.7467142420397135
Extended Coverage,0,DCC,2,1153.0,2,2,1,5,2,555.2,288.25,7.050989447068045,6.3211279417998645
Extended Coverage,0,Fingal,2,1148.0,2,2,1,2,1,593.21,287.0,7.046647277848756,6.387232792237283
Extended Coverage,0,Fingal,2,1110.0,2,2,0,1,0,562.39,277.5,7.01301578963963,6.333972105905978
Constructed Space,0,Dun Laoghaire,2,1100.0,2,2,1,1,0,433.36,275.0,7.00397413672268,6.0738736833487
Extended Coverage,0,South Dublin,2,1290.0,2,2,0,4,2,967.83,322.5,7.1631723908466425,6.876089157903125
Extended Coverage,0,Fingal,3,1500.0,2,1,1,7,2,491.83,300.0,7.313886831633462,6.20016428698978
Extended Coverage,108,Fingal,2,1080.0,2,2,0,1,0,409.86,270.0,6.985641817639208,6.018252523864365
Extended Coverage,172,Fingal,3,1933.0,3,1,1,2,1,757.45,322.1666666666667,7.56734567601324,6.631276877037681
Constructed Space,0,Fingal,2,1060.0,2,2,0,4,2,642.45,265.0,6.966967138613983,6.466844323939674
Extended Coverage,230,Fingal,1,645.0,1,1,0,1,0,289.47,322.5,6.470799503782602,5.671500300735477
Extended Coverage,261,Fingal,1,645.0,1,1,0,4,2,289.47,322.5,6.470799503782602,5.671500300735477
Extended Coverage,0,Fingal,3,1644.0,3,3,1,2,1,579.93,274.0,7.405495663199472,6.36463026766567
Extended Coverage,0,Other,2,1285.0,2,3,0,3,1,640.37,321.25,7.1592919047975645,6.463606513480427
Land Parcel,0,Dun Laoghaire,3,1200.0,3,1,0,5,2,851.25,200.0,7.0909098220799835,6.747879911018012
Extended Coverage,0,Dun Laoghaire,2,910.0,2,1,1,6,2,498.9,227.5,6.814542897259958,6.214408078419525
Extended Coverage,0,DCC,3,1577.0,3,1,0,1,0,503.8,262.8333333333333,7.363913501405819,6.224162311227003
Extended Coverage,0,South Dublin,3,2420.0,3,2,0,4,2,867.67,403.3333333333333,7.791935956938058,6.7669633063078605
Extended Coverage,0,Fingal,2,800.0,1,1,0,5,2,283.75,266.6666666666667,6.68586094706836,5.651611602327291
Constructed Space,0,Fingal,2,1060.0,2,2,0,1,0,588.92,265.0,6.966967138613983,6.379986934485834
Extended Coverage,0,Fingal,2,1270.0,2,2,1,6,2,831.14,317.5,7.147559271189454,6.724000695896299
Extended Coverage,169,Fingal,2,900.0,2,2,0,7,2,283.75,225.0,6.803505257608338,5.651611602327291
Constructed Space,0,Fingal,2,1280.0,2,1,0,4,2,611.84,320.0,7.155396301896734,6.4181038904475525
Land Parcel,0,Fingal,4,1200.0,2,0,1,1,0,898.54,200.0,7.0909098220799835,6.8018835215513915
Constructed Space,0,Dun Laoghaire,2,1025.0,2,2,1,2,1,398.63,256.25,6.933423025730715,5.990539119031481
Extended Coverage,168,Dun Laoghaire,2,1108.0,2,1,0,4,2,645.35,277.0,7.011213987350367,6.4713411527299565
Extended Coverage,0,Fingal,3,1500.0,3,2,1,5,2,571.28,250.0,7.313886831633462,6.349628382098134
Extended Coverage,0,Fingal,2,1295.0,2,2,0,3,1,384.76,323.75,7.16703787691222,5.955215414432861
Extended Coverage,0,DCC,2,1162.0,2,1,1,5,2,585.08,290.5,7.0587581525186645,6.373456299030504
Extended Coverage,0,Dun Laoghaire,2,1035.0,2,2,1,1,0,539.54,258.75,6.943122422819428,6.292568639891403
Constructed Space,0,Fingal,4,1600.0,4,0,1,2,1,374.55,200.0,7.3783837129967145,5.928391618132021
Extended Coverage,0,Fingal,3,1464.0,3,2,0,3,1,356.63,244.0,7.289610521451167,5.87949893239802
Extended Coverage,291,Fingal,3,1866.0,2,2,0,7,2,374.56,373.2,7.532088143541722,5.928418245390347
Extended Coverage,0,Fingal,2,700.0,1,1,0,2,1,421.57,233.33333333333334,6.55250788703459,6.046355113547108
Extended Coverage,0,Fingal,3,1804.0,3,2,0,6,2,754.99,300.6666666666667,7.498315870766981,6.628028148578821
Extended Coverage,0,DCC,2,913.0,2,1,0,6,2,397.81,228.25,6.81783057145415,5.9884851129989825
Extended Coverage,355,Fingal,3,1868.0,3,2,0,7,2,795.96,311.3333333333333,7.533158807455563,6.680804489324974
Constructed Space,0,Fingal,2,883.0,2,1,0,6,2,578.43,220.75,6.784457062637643,6.362044861695901
Extended Coverage,0,South Dublin,3,1664.0,2,3,1,3,1,504.41,332.8,7.417580402414544,6.225369981066223
Extended Coverage,0,DCC,3,2026.0,3,2,0,6,2,739.49,337.6666666666667,7.614312146452,6.607312129227742
Extended Coverage,0,DCC,2,1210.0,2,1,1,5,2,758.86,302.5,7.099201743553092,6.633134205785218
Extended Coverage,0,Fingal,3,1762.0,3,3,0,3,1,589.08,293.6666666666667,7.47477218239787,6.380258120928175
Extended Coverage,0,DCC,3,1252.0,3,3,1,6,2,498.6,208.66666666666666,7.133295954896068,6.2138077782514225
Constructed Space,0,South Dublin,2,861.0,2,1,1,1,0,454.79,215.25,6.759255270663693,6.122032177123785
Constructed Space,0,Fingal,3,1420.0,2,1,1,5,2,799.3,284.0,7.259116128097101,6.684986657373001
Constructed Space,0,DCC,3,1490.0,3,1,0,3,1,600.26,248.33333333333334,7.307202314764738,6.3990274532982925
Extended Coverage,0,DCC,3,1075.0,2,1,0,5,2,485.67,215.0,6.98100574072173,6.187586275325884
Extended Coverage,230,DCC,3,1425.0,2,2,0,7,2,748.7,285.0,7.262628600974241,6.619673126509016
Constructed Space,0,Fingal,2,1200.0,2,1,0,1,0,378.33,300.0,7.0909098220799835,5.938406538633336
Extended Coverage,0,DCC,3,1280.0,2,2,0,5,2,496.56,256.0,7.155396301896734,6.209716152341764
Extended Coverage,0,Fingal,2,1084.0,2,2,0,5,2,523.52,271.0,6.98933526597456,6.262483558663224
Extended Coverage,199,Fingal,2,1015.0,2,2,1,5,2,289.4,253.75,6.923628628138427,5.671259282950641
Extended Coverage,141,Dun Laoghaire,2,1017.0,2,1,1,6,2,571.96,254.25,6.925595197110468,6.350815906250123
Extended Coverage,0,Fingal,2,1027.0,2,2,0,2,1,486.27,256.75,6.93537044601511,6.188818384235889
Extended Coverage,0,Fingal,2,1069.0,2,2,0,6,2,477.78,267.25,6.975413927455952,6.171241201716979
Extended Coverage,0,Dun Laoghaire,2,1349.0,2,1,0,3,1,826.22,337.25,7.2078598714324755,6.718070681411593
Extended Coverage,0,Fingal,2,1005.0,2,1,1,5,2,564.68,251.25,6.913737350659685,6.338028547295985
Extended Coverage,0,DCC,2,1417.0,2,3,0,4,2,600.74,354.25,7.257002707092073,6.399825458328172
Land Parcel,17,DCC,3,1475.0,3,1,1,5,2,754.1,245.83333333333334,7.297091005160418,6.62685019080938
Usable Interior,0,Fingal,2,950.0,2,2,0,2,1,561.53,237.5,6.85751406254539,6.332444465989737
Extended Coverage,0,Fingal,4,2000.0,4,0,1,6,2,681.0,250.0,7.601402334583733,6.525029657843462
Extended Coverage,0,Dun Laoghaire,4,1863.0,3,2,1,1,0,633.6,266.14285714285717,7.530479995245536,6.452994879149095
Extended Coverage,0,South Dublin,2,1010.0,2,1,0,6,2,331.51,252.5,6.918695219020472,5.806669934831629
Extended Coverage,0,Fingal,3,1425.0,2,1,0,4,2,557.54,285.0,7.262628600974241,6.325326236356453
Extended Coverage,0,Fingal,3,1450.0,3,0,0,1,0,782.76,241.66666666666666,7.280008252884188,6.664102851036387
Extended Coverage,0,DCC,3,1847.0,3,2,0,1,0,645.24,307.8333333333333,7.521859252201629,6.471170951815103
Extended Coverage,0,South Dublin,2,1100.0,2,3,0,5,2,464.32,275.0,7.00397413672268,6.142725340948566
Extended Coverage,354,Dun Laoghaire,1,525.0,1,1,1,4,2,562.1,262.5,6.26530121273771,6.333457232260573
Extended Coverage,0,South Dublin,3,1665.0,3,2,0,7,2,647.6,277.5,7.418180822726788,6.474816193873218
