ID,property_scope,availability,location,size,total_sqft,bath,balcony,buying or not buying,BER,Renovation needed,price-per-sqft-$
86,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1665,3,2,Yes,F,Yes,599.8798799
87,Extended Coverage,17-Sep,South Dublin,2 BED,708,2,2,No,F,Yes,593.1497175
88,Extended Coverage,Ready To Move,DCC,2 BED,1060,2,2,No,C,Maybe,621.6801887
89,Land Parcel,Ready To Move,Fingal,6 Bedroom,710,6,3,No,E,Yes,2557.746479
90,Constructed Space,Ready To Move,South Dublin,2 BED,1000,2,2,No,D,Yes,794.5
91,Extended Coverage,18-Dec,Dun Laoghaire,2 BED,1000,2,1,No,G,Yes,327.788
92,Extended Coverage,Ready To Move,Fingal,3 BED,1450,2,2,No,A,No,547.9310345
93,Land Parcel,Ready To Move,South Dublin,4 Bedroom,1200,4,2,No,D,Yes,1466.041667
94,Extended Coverage,17-Aug,Dun Laoghaire,2 BED,1296,2,3,No,F,Yes,700.617284
95,Extended Coverage,Ready To Move,South Dublin,3 BED,1540,3,2,Yes,A,No,663.3116883
96,Land Parcel,Ready To Move,DCC,4 Bedroom,2894,4,1,No,E,Yes,960.8673117
97,Extended Coverage,Ready To Move,South Dublin,3 BED,1330,2,1,No,G,Yes,409.6240602
98,Constructed Space,Ready To Move,Fingal,2 BED,1200,2,1,No,E,Yes,614.7916667
99,Constructed Space,Ready To Move,Fingal,3 Bedroom,1200,3,1,No,E,Yes,851.25
100,Extended Coverage,Ready To Move,DCC,3 BED,2502,3,3,No,C,Maybe,626.0191847
101,Constructed Space,Ready To Move,Fingal,2 BED,650,1,1,No,E,Yes,296.8461538
102,Land Parcel,Ready To Move,DCC,3 Bedroom,2400,2,1,No,G,Yes,709.375
103,Extended Coverage,Ready To Move,Fingal,2 BED,1007,2,2,No,D,Yes,484.6573982
104,Extended Coverage,Ready To Move,Fingal,2 BED,1200,2,2,No,A,No,472.9166667
105,Extended Coverage,Ready To Move,Fingal,2 BED,966,2,2,No,A,No,586.2991718
106,Constructed Space,Ready To Move,DCC,3 BED,1630,2,1,No,E,Yes,682.392638
107,Constructed Space,Ready To Move,Fingal,3 BED,1640,3,2,Yes,B,Maybe,1584.847561
108,Constructed Space,Ready To Move,Fingal,2 BED,782,2,2,No,A,No,808.1432225
109,Extended Coverage,19-Apr,DCC,2 BED,1260,2,2,No,D,Yes,601.55
110,Extended Coverage,Ready To Move,Fingal,3 BED,1800,3,3,No,C,Maybe,756.6666667
111,Extended Coverage,Ready To Move,Fingal,3 BED,1413,2,2,Yes,F,Yes,602.4416136
112,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1116,2,1,Yes,G,Yes,527.937276
113,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1530,2,1,No,F,Yes,340.5
114,Constructed Space,Ready To Move,DCC,4 Bedroom,3700,4,1,No,A,No,690.2027027
115,Constructed Space,Ready To Move,Dun Laoghaire,3 Bedroom,2497,3,2,No,G,Yes,636.3636364
116,Extended Coverage,Ready To Move,DCC,3 BED,1540,2,3,No,B,Maybe,471.6883117
117,Extended Coverage,18-Dec,Dun Laoghaire,3 BED,1436,3,1,No,C,Maybe,590.816156
118,Extended Coverage,18-Jun,DCC,2 BED,1100,2,2,No,C,Maybe,773.8636364
119,Land Parcel,Ready To Move,Fingal,2 Bedroom,276,3,3,No,E,Yes,945.8333333
120,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1427,3,2,No,G,Yes,954.4498949
121,Extended Coverage,Ready To Move,DCC,3 BED,2061,3,1,No,G,Yes,1101.407084
122,Extended Coverage,18-Mar,Dun Laoghaire,4 BED,3067 - 8156,4,0,No,G,Yes,
123,Constructed Space,Ready To Move,South Dublin,4 BED,2650,4,2,Yes,F,Yes,642.4528302
124,Extended Coverage,22-Dec,DCC,3 BED,1282,2,2,No,G,Yes,606.6318253
125,Constructed Space,Ready To Move,Fingal,2 BED,1050,2,1,No,E,Yes,367.5238095
126,Constructed Space,Ready To Move,South Dublin,3 BED,1600,3,2,No,E,Yes,461.09375
127,Extended Coverage,22-Jan,Fingal,2 BED,945,2,1,No,D,Yes,648.5714286
128,Extended Coverage,Ready To Move,DCC,2 BED,1500,2,1,No,B,Maybe,590.2
129,Land Parcel,Ready To Move,South Dublin,7 Bedroom,950,7,0,No,B,Maybe,1373.947368
130,Constructed Space,Ready To Move,Fingal,3 BED,1870,3,3,No,E,Yes,667.6470588
131,Land Parcel,Ready To Move,DCC,3 Bedroom,1600,3,1,No,D,Yes,532.03125
132,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,880,1,1,No,E,Yes,212.8125
133,Land Parcel,Ready To Move,Other,4 Bedroom,1200,4,0,No,E,Yes,1986.25
134,Extended Coverage,Ready To Move,Fingal,3 BED,1535,3,2,No,B,Maybe,613.713355
135,Constructed Space,Ready To Move,Dun Laoghaire,2 BED,950,2,1,Yes,D,Yes,681
136,Extended Coverage,18-Aug,DCC,2 BED,1360,2,1,Yes,C,Maybe,542.4632353
137,Extended Coverage,19-Mar,DCC,2 BED,1042 - 1105,2,0,Yes,C,Maybe,
138,Extended Coverage,18-May,South Dublin,3 BED,1280,3,1,Yes,D,Yes,446.90625
139,Extended Coverage,19-Jan,Fingal,3 BED,1260,2,2,Yes,F,Yes,766.1246032
140,Constructed Space,Ready To Move,Fingal,8 Bedroom,5000,8,,Yes,D,Yes,567.5
141,Extended Coverage,19-Dec,Dun Laoghaire,5 BED,3050,5,1,Yes,A,No,792.6393443
142,Extended Coverage,Ready To Move,DCC,3 BED,1563.05,3,1,No,B,Maybe,762.451617
143,Extended Coverage,Ready To Move,South Dublin,2 BED,1000,2,1,No,B,Maybe,681
144,Extended Coverage,17-Jul,South Dublin,2 BED,1167,2,1,Yes,F,Yes,425.6006855
145,Extended Coverage,Ready To Move,South Dublin,7 BED,4000,7,2,No,E,Yes,638.4375
146,Extended Coverage,Ready To Move,DCC,3 BED,1828,3,,No,E,Yes,682.9868709
147,Extended Coverage,Ready To Move,Fingal,2 BED,890,2,1,No,E,Yes,446.3483146
148,Extended Coverage,Ready To Move,Fingal,3 BED,1612,3,3,No,F,Yes,329.0936725
149,Land Parcel,Ready To Move,Fingal,6 Bedroom,1034,5,,No,G,Yes,2030.705996
150,Extended Coverage,19-Apr,DCC,3 BED,1710,4,2,No,B,Maybe,606.0631579
151,Extended Coverage,Ready To Move,South Dublin,2 BED,957,2,1,No,D,Yes,687.8787879
152,Extended Coverage,18-May,South Dublin,3 BED,1250,2,3,No,G,Yes,399.52
153,Extended Coverage,Ready To Move,Fingal,3 BED,2795,4,,Yes,E,Yes,954.293381
154,Extended Coverage,Ready To Move,DCC,2 BED,1125,2,2,Yes,C,Maybe,504.4444444
155,Extended Coverage,18-Jul,Fingal,2 BED,1020,2,1,No,A,No,340.5
156,Extended Coverage,Ready To Move,Fingal,2 BED,1200,2,2,No,F,Yes,472.9166667
157,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1735,3,3,No,G,Yes,883.1412104
158,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,2050,3,1,No,D,Yes,802.804878
159,Land Parcel,Ready To Move,South Dublin,4 Bedroom,3750,4,0,No,B,Maybe,2300.266667
160,Constructed Space,Ready To Move,Fingal,3 BED,1350,2,3,No,G,Yes,403.5555556
161,Extended Coverage,18-May,DCC,2 BED,1063,2,1,Yes,D,Yes,341.6745061
162,Extended Coverage,Ready To Move,Fingal,3 BED,1904,3,1,Yes,G,Yes,894.1701681
163,Constructed Space,Ready To Move,Dun Laoghaire,4 Bedroom,4200,4,2,No,G,Yes,1135
164,Extended Coverage,Ready To Move,Fingal,3 BED,2000,3,1,No,F,Yes,993.125
165,Extended Coverage,18-Dec,DCC,2 BED,1145 - 1340,2,0,No,G,Yes,
166,Extended Coverage,Ready To Move,Fingal,3 BED,1425,2,2,No,B,Maybe,597.3684211
167,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1500,2,1,Yes,F,Yes,488.05
168,Constructed Space,Ready To Move,Dun Laoghaire,2 BED,1060,2,1,No,F,Yes,642.4528302
169,Constructed Space,Ready To Move,Fingal,3 BED,1470,2,2,No,A,No,540.4761905
170,Extended Coverage,Ready To Move,Fingal,6 BED,1300,6,0,Yes,F,Yes,864.3461538
171,Extended Coverage,Ready To Move,Fingal,1 BED,450,1,1,Yes,E,Yes,277.4444444
172,Extended Coverage,18-Apr,Dun Laoghaire,2 BED,1152,2,1,Yes,B,Maybe,635.4817708
173,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1350,2,1,No,C,Maybe,470.8148148
174,Extended Coverage,Ready To Move,Fingal,3 BED,1550,3,3,No,D,Yes,475.9677419
175,Land Parcel,Ready To Move,Other,3 Bedroom,1500,3,2,Yes,D,Yes,756.6666667
176,Land Parcel,Ready To Move,Fingal,5 Bedroom,600,3,2,Yes,B,Maybe,1607.916667
177,Land Parcel,Ready To Move,South Dublin,1 Bedroom,400,1,0,No,G,Yes,397.25
178,Extended Coverage,Ready To Move,DCC,1 BED,705,1,2,Yes,F,Yes,1078.652482
179,Constructed Space,Ready To Move,Dun Laoghaire,2 BED,770,1,1,No,F,Yes,530.6493506
180,Extended Coverage,Ready To Move,DCC,2 BED,1242,2,3,No,A,No,466.0628019
181,Extended Coverage,Ready To Move,Fingal,3 BED,1700,3,2,No,G,Yes,1034.852941
182,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,2144,3,2,No,E,Yes,767.6072761
183,Extended Coverage,21-Jun,Fingal,3 BED,1704,3,2,Yes,D,Yes,732.6877934
184,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1070,2,1,No,G,Yes,551.588785
185,Land Parcel,Ready To Move,Fingal,3 Bedroom,1846,3,2,No,B,Maybe,1844.528711
186,Extended Coverage,Ready To Move,Fingal,2 BED,1340,2,2,No,G,Yes,471.7873134
187,Constructed Space,Ready To Move,Dun Laoghaire,2 BED,1025,2,1,Yes,B,Maybe,509.3658537
188,Extended Coverage,Ready To Move,DCC,2 BED,1015 - 1540,2,0,No,F,Yes,
189,Extended Coverage,Ready To Move,Fingal,2 BED,1200,2,2,No,B,Maybe,491.8333333
190,Constructed Space,18-Dec,Dun Laoghaire,4 Bedroom,2250,4,1,No,E,Yes,554.8888889
191,Extended Coverage,Ready To Move,South Dublin,3 BED,1550,2,3,No,G,Yes,585.8064516
192,Land Parcel,Ready To Move,DCC,4 Bedroom,1200,5,,No,B,Maybe,3073.958333
193,Land Parcel,Ready To Move,Fingal,7 Bedroom,1800,7,1,Yes,D,Yes,1576.388889
194,Extended Coverage,Ready To Move,Fingal,2 BED,1200,2,2,No,B,Maybe,567.5
195,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1327,2,2,Yes,B,Maybe,838.2064808
196,Extended Coverage,Ready To Move,DCC,2 BED,1186,2,2,No,F,Yes,555.0590219
197,Constructed Space,Ready To Move,Fingal,3 Bedroom,1783,3,1,No,C,Maybe,732.0527201
198,Extended Coverage,Ready To Move,DCC,3 BED,1400,3,2,Yes,F,Yes,454
199,Extended Coverage,Ready To Move,South Dublin,2 BED,980,2,1,No,G,Yes,555.9183673
200,Extended Coverage,Ready To Move,South Dublin,2 BED,1285,2,2,Yes,D,Yes,724.2801556
201,Extended Coverage,Ready To Move,Fingal,3 BED,912,2,1,No,F,Yes,871.1622807
202,Constructed Space,Ready To Move,Dun Laoghaire,2 BED,1225,2,2,No,D,Yes,441.0285714
203,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1075,2,1,No,F,Yes,559.5813953
204,Constructed Space,Ready To Move,Fingal,3 BED,1260,2,2,No,A,No,486.4285714
205,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1282,2,2,Yes,E,Yes,431.1583463
206,Extended Coverage,Ready To Move,South Dublin,3 BED,1909,3,2,No,E,Yes,523.2058669
207,Extended Coverage,Ready To Move,DCC,2 BED,1359,2,1,No,G,Yes,726.6004415
208,Constructed Space,Ready To Move,Fingal,2 BED,1207,2,2,No,B,Maybe,409.051367
209,Land Parcel,Ready To Move,South Dublin,4 Bedroom,1736,6,0,No,G,Yes,1242.223502
210,Extended Coverage,20-May,South Dublin,4 BED,2850,4,1,No,D,Yes,1704.491228
211,Extended Coverage,Ready To Move,South Dublin,3 BED,1595,3,2,No,C,Maybe,462.539185
212,Constructed Space,18-Jun,Fingal,3 BED,1798,3,2,Yes,D,Yes,561.8186874
213,Extended Coverage,Ready To Move,DCC,3 BED,1475,3,2,No,B,Maybe,602.4345763
214,Extended Coverage,Ready To Move,Fingal,3 BED,1580,3,3,No,A,No,718.3544304
215,Extended Coverage,Ready To Move,South Dublin,2 BED,1295,2,1,Yes,D,Yes,569.6911197
216,Constructed Space,Ready To Move,South Dublin,6 Bedroom,3600,6,0,Yes,E,Yes,444.5416667
217,Extended Coverage,Ready To Move,Dun Laoghaire,1 BED,589,1,1,Yes,A,No,520.2886248
218,Extended Coverage,Ready To Move,Fingal,3 BED,1415,3,3,No,E,Yes,625.6537102
219,Extended Coverage,18-Dec,Dun Laoghaire,3 BED,1787,3,2,Yes,D,Yes,624.2814773
220,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1787,3,2,No,G,Yes,793.9283716
221,Extended Coverage,Ready To Move,DCC,3 BED,1475,2,3,No,D,Yes,692.5423729
222,Constructed Space,Ready To Move,Other,4 BED,2000,4,1,Yes,A,No,428.4625
223,Extended Coverage,19-Mar,Dun Laoghaire,2 BED,984,2,1,No,E,Yes,510.75
224,Extended Coverage,19-Dec,DCC,3 BED,1520 - 1740,,,No,E,Yes,
225,Extended Coverage,Ready To Move,Fingal,3 BED,2405,4,2,No,G,Yes,1227.027027
226,Constructed Space,Ready To Move,Fingal,2 BED,1080,2,2,No,E,Yes,756.6666667
227,Land Parcel,Ready To Move,Fingal,2 Bedroom,1500,2,1,Yes,F,Yes,870.1666667
228,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1900,3,2,Yes,B,Maybe,710.8684211
229,Extended Coverage,19-Aug,South Dublin,2 BED,805,2,1,No,B,Maybe,312.1602484
230,Extended Coverage,Ready To Move,DCC,2 BED,1153,2,2,Yes,E,Yes,555.1951431
231,Extended Coverage,Ready To Move,Fingal,2 BED,1148,2,2,Yes,B,Maybe,593.2055749
232,Extended Coverage,Ready To Move,Fingal,2 BED,1110,2,2,No,A,No,562.3873874
233,Constructed Space,Ready To Move,Dun Laoghaire,2 BED,1100,2,2,Yes,A,No,433.3636364
234,Extended Coverage,Ready To Move,South Dublin,2 BED,1290,2,2,No,D,Yes,967.8294574
235,Extended Coverage,Ready To Move,Fingal,3 BED,1500,2,1,Yes,G,Yes,491.8333333
236,Extended Coverage,18-Apr,Fingal,2 BED,1080,2,2,No,A,No,409.8611111
237,Extended Coverage,21-Jun,Fingal,3 BED,1933,3,1,Yes,B,Maybe,757.4495603
238,Constructed Space,Ready To Move,DCC,5 Bedroom,3500,5,2,No,G,Yes,486.4285714
239,Constructed Space,Ready To Move,Fingal,2 BED,1060,2,2,No,D,Yes,642.4528302
240,Extended Coverage,18-Aug,Fingal,1 BED,645,1,1,No,A,No,289.4682171
241,Land Parcel,Ready To Move,Other,8 Bedroom,2600,8,2,Yes,E,Yes,785.7692308
242,Extended Coverage,18-Sep,Fingal,1 BED,645,1,1,No,D,Yes,289.4682171
243,Extended Coverage,Ready To Move,Fingal,3 BED,1644,3,3,Yes,B,Maybe,579.9270073
244,Extended Coverage,Ready To Move,Other,2 BED,1285,2,3,No,C,Maybe,640.3696498
245,Land Parcel,Ready To Move,Dun Laoghaire,3 Bedroom,1200,3,1,No,E,Yes,851.25
246,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,910,2,1,Yes,F,Yes,498.9010989
247,Extended Coverage,Ready To Move,DCC,3 BED,1577,3,1,No,A,No,503.8046925
248,Land Parcel,17-May,Fingal,3 Bedroom,4050,3,2,No,C,Maybe,784.691358
249,Extended Coverage,Ready To Move,South Dublin,3 BED,2420,3,2,No,D,Yes,867.6652893
250,Extended Coverage,Ready To Move,Fingal,2 BED,800,1,1,No,E,Yes,283.75
251,Constructed Space,Ready To Move,Fingal,2 BED,1060,2,2,No,A,No,588.9150943
252,Extended Coverage,Ready To Move,Fingal,2 BED,1270,2,2,Yes,F,Yes,831.1417323
253,Extended Coverage,18-Jun,Fingal,2 BED,900,2,2,No,G,Yes,283.75
254,Constructed Space,Ready To Move,Fingal,2 Bedroom,1280,2,1,No,D,Yes,611.8359375
255,Land Parcel,Ready To Move,Fingal,4 Bedroom,1200,2,0,Yes,A,No,898.5416667
256,Constructed Space,Ready To Move,Dun Laoghaire,2 BED,1025,2,2,Yes,B,Maybe,398.6341463
257,Extended Coverage,17-Jun,Dun Laoghaire,2 BED,1108,2,1,No,D,Yes,645.3519856
258,Land Parcel,Ready To Move,Fingal,5 Bedroom,1200,5,,No,F,Yes,1607.916667
259,Extended Coverage,Ready To Move,Fingal,3 BED,3045,3,2,Yes,E,Yes,633.6617406
260,Land Parcel,Ready To Move,Fingal,4 Bedroom,2900,3,2,No,F,Yes,1174.137931
261,Extended Coverage,Ready To Move,Fingal,3 BED,1500,3,2,Yes,E,Yes,571.2833333
262,Extended Coverage,Ready To Move,Fingal,2 BED,1295,2,2,No,C,Maybe,384.7606178
263,Extended Coverage,Ready To Move,DCC,2 BED,1162,2,1,Yes,E,Yes,585.0817556
264,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1035,2,2,Yes,A,No,539.5362319
265,Constructed Space,Ready To Move,Fingal,4 Bedroom,1600,4,0,Yes,B,Maybe,374.55
266,Extended Coverage,Ready To Move,Fingal,3 BED,1464,3,2,No,C,Maybe,356.6256831
267,Extended Coverage,18-Oct,Fingal,3 BED,1866,2,2,No,G,Yes,374.5621651
268,Extended Coverage,Ready To Move,Fingal,2 BED,700,1,1,No,B,Maybe,421.5714286
269,Extended Coverage,Ready To Move,Fingal,3 BED,1804,3,2,No,F,Yes,754.9889135
270,Extended Coverage,Ready To Move,DCC,2 BED,913,2,1,No,F,Yes,397.8094195
271,Extended Coverage,21-Dec,Fingal,3 BED,1868,3,2,No,G,Yes,795.9582441
272,Constructed Space,Ready To Move,Fingal,2 BED,883,2,1,No,F,Yes,578.4258211
273,Land Parcel,Ready To Move,Other,2 Bedroom,900,2,1,No,F,Yes,1387.222222
274,Extended Coverage,Ready To Move,South Dublin,3 BED,1664,2,3,Yes,C,Maybe,504.40625
275,Extended Coverage,Ready To Move,DCC,3 BED,2026,3,2,No,F,Yes,739.4866732
276,Extended Coverage,Ready To Move,DCC,2 BED,1210,2,1,Yes,E,Yes,758.8553719
277,Land Parcel,Ready To Move,Fingal,4 Bedroom,4111,4,2,No,G,Yes,690.2213573
278,Extended Coverage,Ready To Move,Fingal,3 BED,1762,3,3,No,C,Maybe,589.0788876
279,Extended Coverage,Ready To Move,DCC,3 BED,1252,3,3,Yes,F,Yes,498.6022364
280,Constructed Space,Ready To Move,South Dublin,2 BED,861,2,1,Yes,A,No,454.7909408
281,Constructed Space,Ready To Move,Fingal,3 BED,1420,2,1,Yes,E,Yes,799.2957746
282,Land Parcel,Ready To Move,Fingal,6 Bedroom,1450,6,0,No,G,Yes,1956.896552
